T0	T1	T2	T3	T4	T5	T6	GENE
-0.79	-1.01	-0.76	-0.35	-0.05	1.84	1.12	YBR269C
-0.73	-0.69	-0.31	-0.43	-0.84	1.99	1.02	YBR280C
-1.47	-0.83	0.85	0.07	-0.81	1.53	0.65	YBR287W
-0.88	-0.55	-0.22	-0.85	-0.53	1.15	1.88	YBR298C
-0.98	-0.63	-0.38	-0.21	-0.69	2.07	0.82	YCL035C
-1.63	-1.15	-0.01	-0.04	1.13	1.23	0.48	YCL040w
-1.26	-0.93	-0.45	-0.32	1.52	1.39	0.04	YCL042W
1.15	0.91	0.65	0.33	-0.09	-1.44	-1.5	YCL046W
1.06	0.97	0.75	-0.06	0.21	-1.3	-1.63	YCL053C
1.13	0.72	1.1	-0.06	-0.31	-0.76	-1.82	YCL054W
-1.04	-1.11	0.87	-0.14	-0.8	1.74	0.48	YCL075W
1.07	1.32	0.69	-0.39	-0.39	-0.54	-1.75	YCLX02C
-0.72	-0.35	-0.13	-0.6	-1.06	0.83	2.04	YCR005c
-1.52	-0.99	0.26	0.04	-0.42	1.43	1.19	YCR021c
-0.91	0.09	-0.47	-0.73	-0.93	1.76	1.2	YCR039c
1.32	0.97	0.85	-0.54	-0.05	-1.09	-1.45	YCR053w
0.31	0.46	0.79	-1.08	-0.73	1.6	-1.35	YCR054C
0.92	1.05	1.43	-0.56	-0.82	-0.94	-1.07	YCR055C
0.81	1.64	0.56	-0.29	-0.28	-0.92	-1.53	YCR058C
-1.57	-0.39	0.33	-0.54	-0.51	1.59	1.09	YCR061W
1.42	1.31	0.51	-0.38	-0.66	-1.13	-1.08	YCR065w
-1	-0.3	-0.64	-0.33	-0.75	1.86	1.17	YCR091w
-0.88	-1.01	-0.62	-0.34	-0.08	1.91	1.02	YDL004W
0.94	0.52	1.18	0.16	0.14	-1.26	-1.68	YDL014W
-0.14	-0.68	-0.61	-0.74	-0.91	1.65	1.43	YDL020C
-1.49	-1.25	-0.31	0.23	0.52	1.39	0.92	YDL021W
-0.95	-1.1	-0.96	0.19	0.1	1.66	1.07	YDL022w
-0.93	-0.88	-1.3	0.15	0.3	1.35	1.32	YDL023c
-1.27	-1.14	0.57	-0.3	-0.47	1.46	1.14	YDL024c
0.85	1.75	0.69	-0.7	-0.8	-0.82	-0.96	YDL037c
1.69	0.93	0.54	-0.4	-0.51	-1.24	-1.01	YDL042C
0.95	0.88	1.03	0.15	-0.12	-1.35	-1.54	YDL050c
0.83	1.31	0.98	-0.04	-0.5	-1.21	-1.38	YDL051W
0.64	1.46	0.57	0.28	-0.12	-1.37	-1.46	YDL052C
0.89	0.88	1	0.14	0	-1.12	-1.78	YDL060w
1.13	1.13	0.79	-0.11	-0.31	-0.96	-1.67	YDL063c
0.86	0.66	0.89	0.41	0.04	-0.79	-2.06	YDL075W
-0.76	0.77	-0.65	-0.97	-0.85	1.83	0.63	YDL079C
1.02	0.81	0.63	0.37	0.21	-1.33	-1.72	YDL082w
1.13	0.64	0.75	0.14	-0.04	-0.52	-2.11	YDL083C
1	1.12	0.65	0.13	0.02	-1.32	-1.6	YDL084w
-0.78	0.2	-0.63	-0.79	-0.92	1.13	1.79	YDL085w
-0.9	-0.8	-0.71	-0.52	-0.13	1.69	1.38	YDL091c
1.22	1.03	0.82	-0.12	-0.25	-1.51	-1.19	YDL111c
0.67	1.21	0.83	0.48	-0.35	-1.3	-1.53	YDL122W
1.48	0.93	0.25	-0.55	0.42	-1.58	-0.96	YDL131w
0.67	0.74	0.72	0.35	0.52	-0.94	-2.05	YDL136w
1.08	1.39	0.62	-0.28	-0.23	-1.26	-1.33	YDL140C
0.88	1.16	0.56	0.25	0.14	-1.51	-1.49	YDL145C
0.88	0.85	1.24	-0.12	-0.27	-0.76	-1.82	YDL148c
1.06	1.53	0.42	-0.17	-0.4	-0.92	-1.53	YDL151c
0.7	1.19	1.16	-0.18	-0.38	-0.74	-1.74	YDL152w
1.2	0.91	1.12	-0.23	-0.51	-1.05	-1.44	YDL153c
1.02	0.94	0.85	0.08	0.06	-1.38	-1.57	YDL167C
-0.77	-0.95	-0.4	-0.6	-0.38	1.59	1.52	YDL169C
-1.32	-0.44	-0.43	-0.02	-0.71	1.26	1.67	YDL181W
1.79	0.88	0.35	-0.3	-0.42	-1.07	-1.23	YDL182w
0.85	0.48	0.87	0.38	0.48	-1.21	-1.86	YDL191W
-0.8	-0.22	-0.29	-0.55	-1.12	1.15	1.83	YDL199c
-0.87	-0.09	-0.96	-0.49	-0.6	1.79	1.23	YDL204w
0.87	0.69	0.87	0.26	0.36	-1.28	-1.78	YDL208W
0.8	0.53	1.09	0.09	0.27	-0.71	-2.07	YDL210W
0.87	0.83	1.2	-0.09	0.06	-1.48	-1.39	YDL213c
-0.84	0.11	-0.51	-0.91	-0.84	1.32	1.66	YDL218w
-0.62	0.11	-0.3	-0.66	-1.33	0.95	1.85	YDL223c
-0.52	-0.79	0.1	-0.42	-1.29	1.4	1.51	YDL245C
-0.99	-1.11	-0.56	-0.01	-0.28	1.6	1.35	YDR001C
-1.16	0.64	-1.07	-0.47	-0.54	1.63	0.96	YDR003W
1.65	0.94	-0.51	-1.27	-1.16	0.42	-0.07	YDR006C
0.57	0.59	0.77	0.58	0.45	-0.84	-2.12	YDR012W
-0.99	0.71	-0.47	-1.03	-0.87	1.25	1.39	YDR018c
-1.24	-0.5	0.22	0.88	1.87	-0.34	-0.87	YDR019C
1.14	0.35	1.25	0.07	-0.07	-1	-1.74	YDR023W
0.21	1.84	0.36	0.26	-0.06	-1.23	-1.37	YDR024w
-1.02	-0.78	-0.47	-0.53	-0.04	2.05	0.8	YDR031w
-1.52	-1.16	0.04	0.22	0.3	1.76	0.34	YDR032c
0.86	1.17	0.65	0.12	0.17	-1.5	-1.48	YDR037W
-0.57	-0.5	-0.38	-0.38	-1.19	1.24	1.78	YDR043C
-1.57	-1.17	1.29	0.23	-0.2	1.17	0.26	YDR055w
-1	-1.24	-0.08	-0.56	0.09	1.04	1.75	YDR059C
0.92	0.88	0.96	0.13	0.08	-1.41	-1.56	YDR060w
0.59	0.79	1	0.5	0.19	-1.38	-1.69	YDR062W
0.86	0.78	0.83	0.31	0.3	-1.39	-1.69	YDR064W
-0.7	-0.62	-0.64	-0.7	-0.43	1.93	1.16	YDR070c
-1.06	-0.99	-0.93	0.32	0.21	1.88	0.57	YDR074W
-1.23	-0.95	-0.88	-0.07	0.6	1.62	0.9	YDR077W
-1.31	-0.7	0.25	-0.72	-0.37	1.43	1.42	YDR085C
1.15	1.01	1.08	-0.5	-0.9	-1.54	-0.29	YDR101C
-0.9	-0.44	-0.42	-0.68	-0.64	1.2	1.87	YDR125C
1.14	0.96	0.72	0.17	-0.08	-1.31	-1.59	YDR144C
-1.16	-0.46	-0.01	-0.66	-0.68	1.75	1.21	YDR148C
1.04	0.97	1.12	-0.1	-0.4	-1.52	-1.11	YDR165W
-0.91	-0.87	-0.66	-0.35	-0.28	1.65	1.43	YDR171W
-1.17	-1.02	-0.42	-0.15	-0.19	1.45	1.5	YDR178W
1.17	1.02	0.79	-0.05	-0.14	-1.51	-1.29	YDR206W
-0.58	-0.46	-0.8	-0.69	-0.59	1.3	1.81	YDR216W
-1.02	-1.06	-0.54	-0.34	-0.03	1.54	1.43	YDR231C
-0.8	-0.73	-0.15	-0.08	-1.2	1.41	1.54	YDR255C
-1.04	-0.68	-1.02	-0.01	-0.23	1.53	1.43	YDR258C
-0.26	-0.36	-0.45	-1.24	-0.7	1.35	1.66	YDR262w
-0.85	-0.92	-0.39	-0.3	-0.36	2.15	0.66	YDR272W
-0.96	-0.65	-0.39	-0.41	-0.55	2.06	0.89	YDR272W
-1.23	-0.86	-0.39	-0.6	0.25	1.72	1.11	YDR277C
-1.49	-0.87	0.41	-0.47	-0.25	1.38	1.29	YDR298C
-0.52	-0.06	-0.41	-0.88	-1.1	1.77	1.2	YDR313C
0.75	0.85	1.04	0.12	0.24	-1.36	-1.64	YDR321W
0.99	0.89	1.11	-0.01	-0.43	-0.74	-1.81	YDR324C
-0.81	-0.71	-0.29	-0.81	-0.48	1.78	1.31	YDR329C
1.12	0.97	0.75	-0.03	0.08	-1.6	-1.29	YDR341C
-1.52	-1.16	-0.41	0.42	0.62	1.53	0.53	YDR342C
-1.7	-0.91	-0.27	0.53	0.01	0.86	1.48	YDR343C
0.97	0.83	1.25	0.02	-0.39	-1.18	-1.5	YDR361C
0.82	0.83	1.04	0.29	-0.02	-1.31	-1.66	YDR365C
0.76	0.65	0.56	0.54	0.56	-1.12	-1.95	YDR366C
1.32	1.07	0.79	-0.16	-0.82	-0.65	-1.54	YDR384C
1.03	0.95	0.92	-0.01	-0.09	-1	-1.79	YDR398W
0.74	0.82	0.99	0.25	0.23	-1.28	-1.74	YDR399W
0.93	0.74	0.7	0.27	0.36	-1.05	-1.95	YDR417C
0.73	0.7	0.81	0.38	0.37	-0.96	-2.03	YDR418W
0.99	0.69	0.6	0.27	0.53	-1.38	-1.71	YDR447C
0.98	0.7	0.82	0.24	0.29	-1.26	-1.77	YDR449C
1.08	0.66	0.69	0.11	0.43	-1.09	-1.88	YDR450W
1.06	1.03	1.09	-0.24	-0.49	-0.8	-1.64	YDR465C
1.03	0.79	0.78	-0.06	0.4	-1.1	-1.83	YDR471W
0.78	1	1.29	-0.09	-0.3	-1.22	-1.47	YDR492W
0.82	0.64	1.06	0.23	0.2	-1.05	-1.9	YDR500C
1.01	0.82	1.33	-0.09	-0.53	-1.18	-1.36	YDR502C
1.59	0.99	0.61	-0.46	-0.55	-1.44	-0.74	YDR508C
-0.9	-0.9	-0.64	-0.6	0.02	1.73	1.28	YDR513W
-1.26	-0.69	-0.48	0.02	-0.08	2.14	0.35	YDR516C
1.01	0.95	0.74	0.12	0.15	-1.68	-1.29	YDR527W
-0.9	-1.06	-0.67	-0.16	-0.19	1.29	1.7	YDR529C
-0.86	-0.74	-0.28	-0.42	-0.78	1.73	1.35	YDR533C
-1.15	-0.78	-0.47	-0.17	-0.47	1.4	1.62	YEL011w
-0.55	-0.79	-0.4	-0.38	-0.85	0.93	2.04	YEL012w
-1.17	-0.94	-0.57	-0.16	-0.08	1.21	1.71	YEL024w
0.93	0.6	1.2	0.32	-0.15	-1.33	-1.57	YEL026w
0.93	0.9	1.31	-0.05	-0.5	-1.23	-1.36	YEL033w
-0.72	-0.95	-0.61	-0.37	-0.4	1.89	1.15	YEL039c
0.8	1	1.17	-0.08	-0.34	-0.74	-1.81	YEL040w
1.04	1.11	0.98	0.03	-0.56	-1.12	-1.47	YEL046c
0.83	0.73	0.97	0.3	0.13	-1.06	-1.9	YEL054c
1.17	0.08	0.01	-1.45	-1.4	0.41	1.17	YEL065w
1.21	0.95	1.01	-0.38	-0.18	-1.45	-1.16	YER002w
1.18	0.75	1.25	-0.31	-0.31	-1.26	-1.3	YER006w
-0.6	-0.49	-0.24	-0.67	-0.78	0.54	2.24	YER024w
1.29	0.65	1.11	-0.11	-0.27	-1.42	-1.26	YER025w
-0.73	-0.78	-0.74	-0.75	0.15	2	0.85	YER035w
1.19	1.26	0.58	-0.06	-0.28	-1.34	-1.33	YER036c
1.04	0.85	1.24	-0.4	-0.19	-0.93	-1.61	YER043c
0.87	1.28	0.88	0.02	-0.54	-0.8	-1.7	YER049w
0.99	0.73	1.27	0.15	-0.45	-1.22	-1.47	YER052c
-1.64	-1.03	-0.3	0.22	0.36	0.98	1.42	YER053c
0.54	0.97	1.16	0.06	0.21	-1.33	-1.61	YER056c
0.61	1.07	1.17	-0.13	0.06	-1.04	-1.73	YER060w
-1.04	-0.85	-0.34	-0.1	-0.66	1.77	1.22	YER067w
0.98	0.84	1.01	0.33	-0.32	-1.58	-1.26	YER070w
0.77	0.58	1.02	0.37	0.11	-0.8	-2.05	YER074w
-0.9	-1.16	-0.18	-0.33	-0.38	1.18	1.77	YER079w
-0.84	-0.92	0.13	-0.32	-1	1.45	1.5	YER098w
0.93	0.77	1.31	0	-0.31	-1.5	-1.22	YER110c
0.66	0.66	0.72	0.61	0.33	-0.92	-2.07	YER117w
1.11	0.6	1	0.3	-0.07	-1.32	-1.61	YER129w
0.77	0.53	0.85	0.44	0.39	-0.94	-2.04	YER131w
-1.69	-0.6	0	0.41	-0.62	1.45	1.05	YER141w
-0.92	-0.51	0.19	-0.38	-1.25	1.55	1.33	YER142c
1.37	1.27	0.42	0.02	-0.7	-1.32	-1.05	YER145c
-1.28	-1.12	-0.35	-0.07	0.01	1.47	1.35	YER150w
-1.54	-1.15	0.28	-0.05	0.16	0.6	1.69	YER158c
1.27	1.25	0.78	-0.48	-0.51	-0.99	-1.32	YER165w
-0.9	-0.81	-0.15	-0.52	-0.71	1.56	1.52	YER175c
-0.81	-0.81	-0.59	-0.71	-0.05	1.97	0.98	YER182w
-1.33	-0.94	-0.77	-0.06	0.42	1.4	1.27	YFL014W
1.25	1.27	0.62	-0.24	-0.52	-0.85	-1.54	YFL022C
-1.11	-0.77	-0.11	-0.56	-0.27	0.8	2.03	YFL030W
0.6	0.67	1.42	0.3	-0.27	-0.95	-1.77	YFL045C
-1.26	-1.01	-0.68	0.32	-0.14	1.39	1.37	YFR015C
0.61	0.61	1.13	0.35	0.29	-1.07	-1.91	YFR031BC
-0.74	-0.93	-0.78	-0.46	-0.12	1.79	1.25	YFR033C
-0.91	-0.72	-0.63	0.12	0.74	2.07	-0.67	YFR053C
-1.11	-1	-1	0.17	0.22	1.45	1.27	YGL006W
0.85	0.85	0.7	0.53	0.13	-1.48	-1.59	YGL008C
0.59	0.69	1.06	0.18	0.48	-1.89	-1.11	YGL029W
0.74	0.67	0.92	0.28	0.4	-1.08	-1.94	YGL030W
-1.07	-0.88	-0.98	-0.01	0.33	1.85	0.76	YGL037C
-0.87	-0.77	-0.38	-0.8	-0.28	1.61	1.48	YGL045W
-1.15	-0.91	0.43	-0.07	-1	1.51	1.18	YGL059W
0.28	0.36	-0.89	-0.67	-0.68	-0.58	2.18	YGL062W
1.06	0.55	0.96	0.14	0.09	-0.82	-1.99	YGL076C
0.89	0.62	1.27	-0.05	-0.05	-0.78	-1.9	YGL078C
1.42	0.34	0.82	0.28	0.01	-1.51	-1.36	YGL092W
0.61	0.48	0.75	0.59	0.55	-0.89	-2.1	YGL102C
0.85	0.83	0.68	0.44	0.25	-1.17	-1.87	YGL103W
-1.12	-0.59	-0.59	-0.65	-0.04	1.79	1.2	YGL121C
0.66	0.69	1.02	0.4	0.25	-1.19	-1.84	YGL123W
0.56	0.76	1.1	0.43	0.14	-1.11	-1.86	YGL135W
0.71	0.77	0.95	0.33	0.2	-1	-1.96	YGL147C
-0.69	-0.6	-0.16	-0.54	-1.01	1.14	1.87	YGL153W
-1.09	-0.87	-0.58	-0.43	-0.02	1.4	1.6	YGL187C
-0.74	-0.85	-0.75	-0.75	0.06	1.58	1.45	YGL191W
-0.73	-1.02	-0.67	-0.44	0.01	2.02	0.84	YGL199C
0.51	0.72	1.24	0.41	0.04	-1.15	-1.78	YGL225W
-0.98	-0.91	-0.35	-0.19	-0.45	0.87	2.02	YGL259W
-1.17	-1.06	-0.6	0.05	-0.01	1.74	1.05	YGR008C
-0.99	-1.06	-0.4	-0.3	-0.28	1.56	1.46	YGR019W
0.59	0.51	0.77	0.57	0.61	-1.07	-1.99	YGR027C
-1.69	-0.59	-0.05	-0.37	0	1.44	1.26	YGR028W
1.04	0.7	0.85	0.02	0.39	-1.47	-1.54	YGR034W
-0.71	-0.9	-0.47	-0.5	-0.53	1.81	1.29	YGR043C
-1.3	-0.75	0.45	-0.46	-0.7	1.49	1.27	YGR052W
0.84	0.69	1.23	0.08	0.08	-1.3	-1.62	YGR060W
0.82	0.87	0.69	0.32	0.4	-1.45	-1.66	YGR061C
-0.68	-0.83	0.03	-0.65	-0.88	1.72	1.3	YGR066C
-0.89	-0.59	-0.85	-0.58	-0.15	1.37	1.7	YGR070W
-0.81	-0.88	-0.77	-0.38	-0.21	1.77	1.28	YGR088W
1.01	0.8	1.18	-0.08	-0.29	-0.83	-1.78	YGR103W
-0.42	-0.54	0	-0.7	-1.12	0.72	2.06	YGR110W
0.74	0.67	0.7	0.43	0.57	-1.22	-1.88	YGR118W
1.06	0.82	1.05	-0.3	-0.06	-0.71	-1.87	YGR123C
0.93	1.11	1	-0.06	-0.23	-1.2	-1.55	YGR124W
-0.62	-0.7	-0.5	-0.4	-0.82	1.95	1.11	YGR130C
-1.23	-0.81	1.79	0.78	-0.42	-0.69	0.58	YGR138C
-0.97	-0.79	-0.5	-0.5	-0.24	1.11	1.9	YGR142W
1	0.71	1.3	-0.08	-0.29	-1.03	-1.63	YGR145W
-0.29	-0.15	-0.46	-1.2	-0.87	1.31	1.67	YGR146C
0.84	0.75	0.71	0.36	0.38	-1.13	-1.91	YGR148C
-1.35	-1.18	0.2	0.09	-0.41	1.21	1.45	YGR149W
1.07	1.03	0.81	0.04	-0.42	-0.64	-1.89	YGR155W
1.16	0.97	1.04	-0.5	-0.54	-0.41	-1.71	YGR159C
1.23	1.07	0.78	-0.22	-0.21	-1.04	-1.6	YGR160W
0.98	1.05	1.01	-0.11	-0.28	-0.93	-1.72	YGR162W
-0.94	-0.93	-0.6	-0.35	-0.22	1.74	1.3	YGR174C
0.53	1.29	0.86	-0.77	-1.06	0.63	-1.49	YGR177C
-1.54	-0.83	-0.4	0.06	-0.01	1.54	1.18	YGR194C
-0.85	-1.07	0.34	-0.47	-0.81	1.59	1.28	YGR201C
0.81	0.7	1	0.19	0.27	-1.1	-1.88	YGR214W
-0.49	-0.52	-0.59	-0.72	-0.81	1.76	1.37	YGR236C
-0.75	-0.65	-0.34	-0.77	-0.63	1.55	1.59	YGR238C
-0.64	-0.6	-0.67	-0.54	-0.69	1.81	1.33	YGR243W
-1.35	-1.06	-0.45	-0.23	0.42	1.53	1.14	YGR244C
1.23	1.13	1	-0.46	-0.61	-1.09	-1.2	YGR245C
-1	-1.06	-0.51	-0.35	0.14	1.94	0.84	YGR248W
-0.86	-1.1	-0.35	-0.68	0.07	1.13	1.78	YGR250C
-0.31	-0.39	-0.14	-1.38	-0.69	1.66	1.26	YGR256W
1.08	1.09	0.7	0.04	-0.05	-1.64	-1.21	YGR264C
1.23	1.02	0.85	-0.66	-0.21	-0.53	-1.72	YGR280C
0.82	0.69	1	-0.16	0.52	-0.98	-1.9	YGR285C
-0.81	-0.61	-0.16	-0.79	-0.68	1.85	1.2	YGR289C
0.82	0.43	0.82	0.7	0.32	-1.25	-1.83	YHL001W
0.69	0.84	0.63	0.48	0.4	-1.05	-1.99	YHL015W
-1.34	-0.84	-0.38	-0.08	-0.25	1.65	1.24	YHL021C
-1.13	-0.78	0.01	-0.5	-0.54	1.12	1.82	YHL024W
-0.72	-0.65	-0.12	-0.8	-0.72	1.11	1.91	YHL032C
0.92	0.8	0.76	0.39	0.06	-1	-1.94	YHL033C
0.86	0.69	0.92	0.25	0.25	-1	-1.96	YHR010W
0.65	1.03	1.08	0.22	-0.09	-1.21	-1.68	YHR019C
0.46	0.43	1.68	0.56	-0.89	-1.41	-0.83	YHR046C
1.03	0.95	0.47	0.26	0.31	-1.69	-1.34	YHR049W
-0.74	-0.91	-0.75	-0.52	-0.15	1.36	1.7	YHR051W
1.25	0.91	0.84	-0.27	0.02	-1.22	-1.53	YHR052W
1.05	1.07	0.73	0.12	-0.15	-1.1	-1.72	YHR064C
1.38	1.09	0.63	-0.58	-0.01	-1.27	-1.25	YHR070W
0.8	0.66	0.86	0.25	0.52	-1.29	-1.79	YHR089C
-1.62	-1.01	-0.25	0.58	0.56	1.62	0.12	YHR092C
-0.76	-0.69	-0.04	-0.35	-0.94	0.65	2.12	YHR096C
-0.81	-0.83	-0.43	-0.32	-0.4	2.21	0.58	YHR104W
1	0.84	1	0	0.06	-1.2	-1.7	YHR128W
0.87	0.62	0.59	0.49	0.39	-0.86	-2.09	YHR141C
-0.9	-0.59	-0.04	-0.7	-0.65	2.06	0.82	YHR195W
0.8	0.98	0.8	0.13	0.31	-1.22	-1.78	YHR203C
1.51	0.85	0.63	-1.21	-0.96	-1.07	0.24	YHR205W
1.64	1.23	0.23	-0.57	-0.62	-0.6	-1.3	YHR206W
0.93	0.91	0.81	-0.26	0.27	-0.63	-2.03	YHR208W
1.11	1.18	0.89	-0.24	-0.45	-1.56	-0.95	YHR215W
0.88	0.87	0.92	0.11	0.21	-1.29	-1.7	YHR216W
0.86	0.63	0.83	0.3	0.35	-0.96	-2.01	YIL018W
1.38	0.57	1.25	-0.36	-1.21	-0.45	-1.18	YIL019W
0.92	0.82	0.49	0.29	0.51	-1.1	-1.92	YIL039W
1.02	0.46	0.85	0.46	0.21	-1.16	-1.85	YIL052C
1.19	0.94	0.74	0.11	-0.16	-1.13	-1.69	YIL053W
1.3	0.88	0.66	-0.19	-0.1	-0.64	-1.91	YIL065C
1.1	0.9	0.84	0.21	-0.15	-1.29	-1.6	YIL066C
1.1	0.56	0.67	0.38	0.31	-1.21	-1.82	YIL069C
-1.11	-1.06	-0.4	-0.21	-0.16	1.62	1.33	YIL087C
1.12	1	0.91	-0.12	-0.17	-1.18	-1.57	YIL091C
-0.8	-0.35	-0.55	-0.66	-0.76	1.67	1.46	YIL097W
-0.85	-0.97	-0.29	-0.09	-0.82	1.35	1.66	YIL101C
-1.01	-0.91	-0.92	-0.22	0.14	1.44	1.48	YIL107C
-1.21	-0.97	-0.4	0.05	0.43	2.06	0.04	YIL111W
